-68.962,45.874,ABOL/Abol - Baxter State Park  TYPE:SP  OPEN:mid may-mid oct COMM:for reservations go to www.baxterstateparkauthority.com/ SITES:9 EL:1337 AMEN:NH ND VT NS RS  LON/LAT:-68.962/45.874,ABOL,Abol - Baxter State Park,SP, ,mid may-mid oct,for reservations go to www.baxterstateparkauthority.com/,9,1337,NH ND VT NS RS 
-78.78,40.342,ADAM/Adams Croyle  TYPE:UTIL PH:814.495.7281    EL:1685 LON/LAT:-78.78/40.342,ADAM,Adams Croyle,UTIL,814.495.7281, , , ,1685,
-74.131,40.162,ALLA/Allaire State Park  TYPE:SP PH:732.938.2371 OPEN:all year  SITES:45  AMEN:NH DP 40ft FT DW SH RS  LON/LAT:-74.131/40.162,ALLA,Allaire State Park,SP,732.938.2371,all year, ,45, ,NH DP 40ft FT DW SH RS 
-72.632,44.052,ALLI/Allis State Park  TYPE:SP PH:802.276.3175   SITES:26 EL:1965 AMEN:NH DP DW NS NR  LON/LAT:-72.632/44.052,ALLI,Allis State Park,SP,802.276.3175, , ,26,1965,NH DP DW NS NR 
-76.882,38.785,ANDR/Andrews AFB Military  TYPE:MIL PH:301.981.3279  COMM:military only - do not use our lat/lon - contact them for directions and info   AMEN:RS  LON/LAT:-76.882/38.785,ANDR,Andrews AFB Military,MIL,301.981.3279, ,military only - do not use our lat/lon - contact them for directions and info, , ,RS 
-76.472,38.99,ANNA/Annapolis Military  TYPE:MIL PH:410.293.9200  COMM:military only - do not use our lat/lon - contact them for directions and info   AMEN:RS  LON/LAT:-76.472/38.99,ANNA,Annapolis Military,MIL,410.293.9200, ,military only - do not use our lat/lon - contact them for directions and info, , ,RS 
-81.071,37.855,ARMY/Army Camp - New River NSR  TYPE:NP   COMM:go to lat/lon-take dirt road-follow signs SITES:11 EL:1170 AMEN:NH ND VT NW NS NR  LON/LAT:-81.071/37.855,ARMY,Army Camp - New River NSR,NP, , ,go to lat/lon-take dirt road-follow signs,11,1170,NH ND VT NW NS NR 
-68.003,46.61,AROO/Aroostook State Park  TYPE:SP  OPEN:all year   EL:612 AMEN:NH RS  LON/LAT:-68.003/46.61,AROO,Aroostook State Park,SP, ,all year, , ,612,NH RS 
-75.144,38.229,ASSA/Assateague State Park  TYPE:SP PH:410.641.2120 OPEN:early may-late oct  SITES:350  AMEN:E DP DW SH RS PA  LON/LAT:-75.144/38.229,ASSA,Assateague State Park,SP,410.641.2120,early may-late oct, ,350, ,E DP DW SH RS PA 
-74.734,39.743,ATSI/Atsion - Wharton State Forest  TYPE:SF PH:609.268.0444   SITES:50  AMEN:RS  LON/LAT:-74.734/39.743,ATSI,Atsion - Wharton State Forest,SF,609.268.0444, , ,50, ,RS 
-80.065,39.04,AUDR/Audra State Park  TYPE:SP PH:304.457.1162 OPEN:mid apr-mid oct   EL:1718 AMEN:NH DP SH NR  LON/LAT:-80.065/39.04,AUDR,Audra State Park,SP,304.457.1162,mid apr-mid oct, , ,1718,NH DP SH NR 
-73.423,44.568,AUSA/Ausable Point  - DEC  TYPE:SPR PH:518.561.7080 OPEN:mid may-late sep    AMEN:NH DP SH RS PA  LON/LAT:-73.423/44.568,AUSA,Ausable Point  - DEC,SPR,518.561.7080,mid may-late sep, , , ,NH DP SH RS PA 
-80.949,38.005,BABC/Babcock State Park  TYPE:SP PH:304.438.3004 OPEN:mid apr-mid oct   EL:2361 AMEN:E DP DW SH RS  LON/LAT:-80.949/38.005,BABC,Babcock State Park,SP,304.438.3004,mid apr-mid oct, , ,2361,E DP DW SH RS 
-80.575,38.635,BAKE/Bakers Run  TYPE:COE PH:304.765.5631     AMEN:E DP DW SH NR  LON/LAT:-80.575/38.635,BAKE,Bakers Run,COE,304.765.5631, , , , ,E DP DW SH NR 
